message_ar,label
اذهب حتى Jurong Point ، مجنون .. متوفر فقط في Bugis n Great World La E Buffet ... cine هناك حصلت على Amore Wat ...,0
طيب لار ... مزاح wif u oni ...,0
دخول مجاني في 2 A Cly Comp to Win Cup Final Final TKTS 21st May 2005. Text FA إلى 87121 لتلقي سؤال الدخول (معدل TXT STD) T&C تطبيق 08452810075OVER18'S,1
أنت لا تقول حتى وقت مبكر يا هور ... u c بالفعل ثم قل ...,0
لا أعتقد أنه يذهب إلى USF ، ويعيش هنا رغم ذلك,0
freemsg مهلا هناك يا حبيبي لقد كان 3 أسابيع الآن ولا توجد كلمة مرة أخرى! أريد بعض المرح لك لما زال؟ السل موافق! XXX STD CHGS لإرسالها ، 1.50 جنيه إسترليني إلى RCV,1
حتى أخي لا يحب التحدث معي. يعاملونني مثل براءة اختراع الإيدز.,0
"وفقًا لطلبك ، تم تعيين ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" ككاليرتون لجميع المتصلين. اضغط *9 لنسخ أصدقائك Callertune",0
الفائز!! بصفتك عميلًا في الشبكة القيمة ، تم اختيارك لاستلام مكافأة جائزة 900 جنيه إسترليني! للمطالبة ، اتصل على 09061701461. رمز المطالبة KL341. ساري المفعول 12 ساعة فقط.,1
هل كان هاتفك المحمول 11 شهرًا أو أكثر؟ يحق لك التحديث إلى أحدث الهواتف المحمولة بالألوان مع الكاميرا مجانًا! اتصل بـ Mobile Update Free على 08002986030,1
سأعود إلى المنزل قريبًا ولا أريد التحدث عن هذه الأشياء بعد الآن ، K؟ لقد بكيت بما فيه الكفاية اليوم.,0
ست فرص للفوز بالنقد! من 100 إلى 20،000 جنيه TXT> CSH11 وأرسل إلى 87575. التكلفة 150p/يوم ، 6 أيام ، 16+ tsandcs تطبيق الرد HL 4 معلومات,1
عاجل! لقد فزت بعضوية مجانية لمدة أسبوع واحد في جائزة الجائزة 100000 جنيه إسترليني! txt the word: ادعاء إلى رقم: 81010 T & C www.dbuk.net lccltd pobox 4403ldnw1a7rw18,1
لقد كنت أبحث عن الكلمات الصحيحة لأشكرك على هذا الاستراحة. أعدك بأنني لن أحصل على مساعدتك أمرا مفروغا منه وسأفي بوعدي. لقد كنت رائعة وبركة في جميع الأوقات.,0
لدي موعد يوم الأحد مع ويل !!,0
xxxmobilemovieclub: لاستخدام الائتمان الخاص بك ، انقر فوق رابط WAP في رسالة TXT التالية أو انقر هنا >> http: // wap. xxxmobilemovieclub.com؟n=QJKgIGJJGCBL,1
أوه ك ... أنا أشاهد هنا :),0
إيه تتذكر كيف 2 تهجئة اسمه ... نعم فعلت. انه الخامس جعل حتى أنا v الرطب.,0
بخير إذا كان هذا هو ما تشعر به. هذا هو الطريقة التي غوتا ب,0
إنجلترا ضد مقدونيا - لا تفوت الأهداف/أخبار الفريق. TXT UR ITEA National Team to 87077 على سبيل المثال إنجلترا إلى 87077 TRAY: Wales ، Scotland 4TXT/ì 11.20 POBOXOX36504W45WQ 16+,1
هل هذا بجدية كيف تتهجى اسمه؟,0
